lotte spout peppermint,6.72E+11,134,30,
lotte spout spearmint,6.72E+11,126,30,
lotte spout stawberry,6.72E+11,131,30,
hot mint,8.96E+12,169,20,
center fresh gum,4.80E+12,35,50,
Big babol bubble gum,4.80E+12,19,50,
orange chewing gum,7.97E+11,40,20,
fusen bubble gum,,,10,
eclair milk,,,7,
fox topi,,,10,
fidder tots,8.97E+12,51,20,
bubble can,1.23E+12,31,50,
happy baby candle,6.97E+12,7,90,
congettz chocolate beans,8.96E+12,59,20,
mentos fruit,6.92E+12,30,60,
mentos mix grape,8.99E+12,44,60,
meidbin tang,6.91E+12,9,150,
fruit bottle,6.91E+12,8,150,
thermometer candy,8.96E+12,28,20,
mentos mint  chewy drages,8.99E+12,24,60,
bounty chocolate (27g),40111216,21,100,
dairy milk(38g),8.96E+12,15,60,
fruittella lemon,6.92E+12,25,70,
fruittella orange,6.92E+12,40,70,
fruittella strawberry,6.92E+12,36,70,
fruittella,87108422,21,70,
me&u (orange& lemon),6.27E+12,6,40,
snickers(50g),5.00E+12,18,100,
me&u (milk caramel drops),6.27E+12,4,40,
milk flavor chews,87108781,19,70,
cho cho wafer (chocolate cheese),8.99E+12,4,80,
cho cho wafer (chocolate vanilla,8.99E+12,5,80,
cho cho wafer (chocolate meises),8.99E+12,2,80,
cho cho wafer (chocolate rice crispy),8.99E+12,2,80,
cho cho wafer (chocolate strawberry),8.99E+12,2,80,
cosby toy,8.68E+12,8,220,
topfer crunchy sticks,9.56E+12,16,130,
lightup lollipop,6.92E+12,29,20,
marshmallow,6.96E+12,29,50,
rolo balls choco biscuit,7.02E+11,42,5,
orange jelly pops,8.96E+12,30,20,
barbiee girl,8.99E+12,1,25,
popping candy,6.96E+12,46,25,
cola candy,8.96E+12,84,20,
car sweet,8.85E+12,23,50,
baby orange candy,8.97E+12,19,20,
peppers candy,8.96E+12,23,30,
heart jelly,8.96E+12,28,20,
dawn rusks,6.32E+12,11,30,
dawn mini rusks,8.95E+11,20,10,
